customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date,total_spend,customer_value,engagement_score,recency_days,monthly_spend,customer_type
19,43,0,6,122773,19,23,55.65,8,19,0.76,0,Very satisfied with my purchase.,2025-09-09,1279.95,10239.6,13.371999999999998,203,13.195360824742268,0
20,27,1,4,128322,100,35,67.03,9,19,0.99,0,Very satisfied with my purchase.,2025-06-13,2346.05,21114.45,13.302999999999999,291,21.523394495412845,2
21,51,1,8,49081,48,39,38.09,15,9,0.83,0,Excellent customer service.,2025-05-07,1485.5100000000002,22282.65,6.351,328,8.207237569060775,1
22,24,1,4,63638,15,9,44.73,1,29,0.07,0,Love the products and fast shipping.,2025-10-12,402.57,402.57,20.578999999999997,170,30.966923076923077,0
23,60,0,4,57291,24,33,40.71,14,23,0.56,0,Love the products and fast shipping.,2025-09-11,1343.43,18808.02,16.232,201,7.949289940828403,0
24,27,0,5,61231,19,12,30.18,3,29,0.6,1,Customer service was unhelpful.,2024-04-14,362.15999999999997,1086.48,20.419999999999998,716,9.788108108108107,0
25,31,1,9,60556,46,32,39.24,12,15,0.15,0,Very satisfied with my purchase.,2025-10-22,1255.68,15068.16,10.755,160,8.659862068965518,1
26,20,0,1,24357,26,5,22.49,0,9,0.07,0,Very satisfied with my purchase.,2025-09-16,112.44999999999999,0.0,6.579,196,112.44999999999999,0
27,47,1,5,74685,51,35,44.68,12,10,0.64,0,"Great experience, will shop again!",2025-09-30,1563.8,18765.6,7.108,182,10.784827586206896,1
28,29,1,9,44097,56,17,32.12,5,10,0.7,0,The website is easy to use.,2025-07-10,546.04,2730.2,7.09,264,8.951475409836066,1
29,60,0,1,48679,53,38,39.06,14,8,0.07,0,The website is easy to use.,2025-05-28,1484.2800000000002,20779.920000000002,5.879,307,8.782721893491125,1
30,47,1,3,52479,46,19,46.73,5,10,0.56,0,"Great experience, will shop again!",2025-06-25,887.8699999999999,4439.349999999999,7.132,279,14.555245901639342,1
31,64,0,5,68630,53,29,51.14,9,28,0.53,0,Very satisfied with my purchase.,2025-07-17,1483.06,13347.539999999999,19.740999999999996,257,13.606055045871559,1
32,60,1,5,52317,5,24,33.61,11,9,0.43,0,Excellent customer service.,2025-08-10,806.64,8873.039999999999,6.471,233,6.064962406015037,0
33,70,0,5,41175,52,15,34.11,4,2,0.13,0,Very satisfied with my purchase.,2025-09-06,511.65,2046.6,1.661,206,10.441836734693878,1
34,55,1,9,110571,89,18,61.1,1,27,0.4,0,Good quality and value for money.,2025-05-13,1099.8,1099.8,19.08,322,84.6,2
35,24,0,4,80985,61,24,49.0,6,16,0.24,0,The website is easy to use.,2025-07-10,1176.0,7056.0,11.427999999999999,264,16.10958904109589,1
36,65,0,9,62863,31,29,40.59,12,20,0.03,0,Love the products and fast shipping.,2025-06-22,1177.1100000000001,14125.320000000002,14.291,282,8.118,0
37,58,1,0,51883,96,17,44.97,3,9,0.86,0,Excellent customer service.,2025-08-03,764.49,2293.4700000000003,6.342,240,20.66189189189189,2
38,18,1,5,53324,49,8,49.17,0,29,0.56,0,The website is easy to use.,2025-07-06,393.36,0.0,20.432,268,393.36,1
39,43,0,8,123560,64,43,65.15,14,18,0.15,0,Love the products and fast shipping.,2025-10-04,2801.4500000000003,39220.3,12.855,178,16.576627218934913,1
40,64,1,4,78108,67,15,50.55,2,15,0.16,0,Good quality and value for money.,2025-08-02,758.25,1516.5,10.752,241,30.33,1
41,44,0,5,64826,49,24,35.85,7,8,0.92,0,The website is easy to use.,2025-09-14,860.4000000000001,6022.800000000001,5.624,198,10.122352941176471,1
42,37,1,9,52309,88,23,57.04,5,6,0.7,0,Good quality and value for money.,2025-08-05,1311.92,6559.6,4.289999999999999,238,21.50688524590164,2
43,65,1,0,48657,70,31,34.53,11,27,0.64,0,"Great experience, will shop again!",2025-06-25,1070.43,11774.730000000001,19.008,279,8.048345864661655,1
44,64,1,0,104706,82,42,48.13,14,8,0.16,0,Love the products and fast shipping.,2025-05-24,2021.46,28300.440000000002,5.851999999999999,311,11.961301775147929,2
45,31,1,0,123714,61,26,49.91,7,8,0.06,0,The website is easy to use.,2025-09-11,1297.6599999999999,9083.619999999999,5.882,201,15.266588235294115,1
46,64,1,9,165148,15,16,59.24,3,17,0.09,0,Excellent customer service.,2025-09-04,947.84,2843.52,12.172999999999998,208,25.6172972972973,0
47,45,1,3,68891,100,12,44.54,0,1,0.88,0,Good quality and value for money.,2025-08-08,534.48,0.0,0.736,235,534.48,2
48,42,0,6,103250,66,41,55.52,14,2,0.17,0,The website is easy to use.,2025-09-14,2276.32,31868.480000000003,1.6489999999999998,198,13.469349112426036,1
49,39,1,8,115437,68,29,51.09,9,19,0.88,1,I will not be shopping here again.,2024-05-25,1481.6100000000001,13334.490000000002,13.335999999999999,675,13.592752293577982,1
50,24,0,5,51623,53,13,31.19,3,9,0.36,0,Love the products and fast shipping.,2025-08-12,405.47,1216.41,6.492,231,10.95864864864865,1
51,29,0,4,72639,12,15,39.1,4,29,0.89,0,Excellent customer service.,2025-08-01,586.5,2346.0,20.333,242,11.96938775510204,0
52,53,1,4,106920,2,29,47.28,11,17,0.84,0,Very satisfied with my purchase.,2025-05-23,1371.1200000000001,15082.320000000002,11.947999999999999,312,10.309172932330828,0
53,18,0,7,61354,60,11,38.92,0,21,0.26,0,The website is easy to use.,2025-09-08,428.12,0.0,14.921999999999999,204,428.12,1
54,48,1,9,63890,90,28,54.99,7,29,0.61,0,The website is easy to use.,2025-06-12,1539.72,10778.04,20.416999999999998,292,18.11435294117647,2
55,24,1,0,129197,82,21,63.89,4,7,0.04,0,Very satisfied with my purchase.,2025-06-17,1341.69,5366.76,5.188,287,27.38142857142857,2
56,35,1,9,62574,4,3,36.55,0,22,0.82,1,"Poor quality, item broke after a week.",2023-12-30,109.64999999999999,0.0,15.453999999999999,822,109.64999999999999,0
57,55,0,2,152239,29,39,63.7,14,12,0.18,0,Very satisfied with my purchase.,2025-10-10,2484.3,34780.200000000004,8.645999999999999,172,14.700000000000001,0
58,29,0,7,34324,7,19,30.18,8,9,0.74,1,Difficult to navigate the website.,2024-10-30,573.42,4587.36,6.378,517,5.911546391752577,0
59,43,1,6,102871,62,19,57.63,3,22,0.43,0,"Great experience, will shop again!",2025-08-14,1094.97,3284.91,15.570999999999998,229,29.593783783783785,1
60,28,0,4,59316,100,30,60.29,8,6,0.07,0,Very satisfied with my purchase.,2025-08-19,1808.7,14469.6,4.478999999999999,224,18.64639175257732,2
61,52,0,5,25471,13,13,24.72,5,24,0.47,1,I will not be shopping here again.,2024-11-11,321.36,1606.8000000000002,16.958999999999996,505,5.268196721311476,0
62,35,1,8,132984,86,22,73.0,4,26,0.95,0,The website is easy to use.,2025-08-21,1606.0,6424.0,18.215,222,32.775510204081634,2
63,63,1,1,51006,2,18,35.48,8,22,0.85,1,"Poor quality, item broke after a week.",2024-04-14,638.64,5109.12,15.444999999999999,716,6.583917525773196,0
64,62,1,2,125241,69,30,61.97,8,17,0.36,0,Good quality and value for money.,2025-08-10,1859.1,14872.8,12.091999999999999,233,19.165979381443297,1
65,18,0,6,75793,51,8,55.17,0,2,0.62,1,Customer service was unhelpful.,2024-08-30,441.36,0.0,1.5139999999999998,578,441.36,1
66,37,1,2,55073,32,24,35.5,9,24,0.22,0,Love the products and fast shipping.,2025-06-16,852.0,7668.0,17.034,288,7.81651376146789,0
67,29,0,0,147313,60,31,55.55,8,17,0.7,0,Very satisfied with my purchase.,2025-09-07,1722.05,13776.4,11.989999999999998,205,17.753092783505153,1
68,38,1,5,66581,96,18,58.32,3,26,0.56,0,Good quality and value for money.,2025-05-23,1049.76,3149.2799999999997,18.332,312,28.37189189189189,2
69,69,1,5,42106,89,17,48.23,3,5,0.44,0,The website is easy to use.,2025-09-19,819.91,2459.73,3.668,193,22.15972972972973,2
70,68,0,4,100053,63,22,47.6,6,9,0.21,0,Excellent customer service.,2025-07-31,1047.2,6283.200000000001,6.537,243,14.345205479452055,1
71,48,1,4,102632,87,30,61.63,9,15,0.47,0,"Great experience, will shop again!",2025-08-05,1848.9,16640.100000000002,10.659,238,16.962385321100918,2
72,30,0,9,68663,76,23,51.29,5,21,0.04,0,Love the products and fast shipping.,2025-05-02,1179.67,5898.35,14.988,333,19.338852459016394,2
73,47,1,4,80935,80,44,61.63,15,8,0.85,0,Good quality and value for money.,2025-06-11,2711.7200000000003,40675.8,5.645,293,14.981878453038675,2
74,66,0,4,173654,42,22,60.07,5,9,0.61,1,"Poor quality, item broke after a week.",2025-03-25,1321.54,6607.7,6.417,371,21.664590163934427,1
75,66,1,0,75601,74,11,52.0,0,12,0.43,0,Good quality and value for money.,2025-08-06,572.0,0.0,8.570999999999998,237,572.0,2
76,23,0,4,49008,52,11,49.12,1,17,0.48,0,Love the products and fast shipping.,2025-08-05,540.3199999999999,540.3199999999999,12.056,238,41.56307692307692,1
77,23,1,1,44193,81,17,50.25,3,12,0.99,0,Love the products and fast shipping.,2025-07-15,854.25,2562.75,8.402999999999999,259,23.08783783783784,2
78,29,1,4,141536,52,32,48.97,10,7,0.37,0,Very satisfied with my purchase.,2025-09-15,1567.04,15670.4,5.0889999999999995,197,12.950743801652893,1
79,60,0,5,59464,76,23,37.64,5,3,0.27,0,"Great experience, will shop again!",2025-06-08,865.72,4328.6,2.3189999999999995,296,14.192131147540984,2
80,62,1,9,139813,58,25,57.78,6,12,0.63,0,The website is easy to use.,2025-05-23,1444.5,8667.0,8.511,312,19.78767123287671,1
81,57,1,9,74130,88,23,52.8,5,11,0.68,0,"Great experience, will shop again!",2025-10-17,1214.3999999999999,6071.999999999999,7.795999999999999,165,19.908196721311473,2
82,21,1,2,69755,79,16,43.3,3,20,0.55,0,Very satisfied with my purchase.,2025-08-21,692.8,2078.3999999999996,14.135,222,18.72432432432432,2
83,21,1,0,109569,61,18,62.55,3,1,0.27,0,Excellent customer service.,2025-07-25,1125.8999999999999,3377.7,0.9189999999999999,249,30.429729729729726,1
84,65,0,9,116644,43,29,53.35,10,5,0.69,0,The website is easy to use.,2025-08-01,1547.15,15471.5,3.593,242,12.786363636363637,1
85,35,1,9,89098,2,31,42.97,13,4,0.16,0,Good quality and value for money.,2025-06-23,1332.07,17316.91,3.0519999999999996,281,8.48452229299363,0
86,67,1,0,107733,67,34,60.94,10,30,0.45,0,The website is easy to use.,2025-06-12,2071.96,20719.6,21.165,292,17.123636363636365,1
87,46,0,9,144175,61,40,54.04,14,21,0.97,0,Excellent customer service.,2025-08-05,2161.6,30262.399999999998,14.709,238,12.790532544378697,1
88,49,0,0,64003,66,21,40.29,6,16,0.44,0,Love the products and fast shipping.,2025-10-12,846.09,5076.54,11.367999999999999,170,11.59027397260274,1
89,45,0,9,71924,23,25,43.47,10,23,0.94,1,The product did not match the description.,2024-03-04,1086.75,10867.5,16.118,757,8.981404958677686,0
90,46,1,3,61611,95,39,55.82,12,25,0.04,0,Love the products and fast shipping.,2025-06-26,2176.98,26123.760000000002,17.788,278,15.013655172413793,2
91,50,1,8,160669,93,41,63.03,12,26,0.62,0,Very satisfied with my purchase.,2025-08-31,2584.23,31010.760000000002,18.314,212,17.822275862068967,2
92,36,0,0,99353,66,20,43.4,4,14,0.82,1,Customer service was unhelpful.,2024-12-08,868.0,3472.0,9.854,478,17.714285714285715,1
93,25,1,2,69598,65,13,46.25,2,12,0.65,1,Customer service was unhelpful.,2023-12-01,601.25,1202.5,8.504999999999999,851,24.05,1
94,44,1,9,52614,93,41,52.26,14,18,0.04,0,Very satisfied with my purchase.,2025-08-27,2142.66,29997.239999999998,12.888,216,12.678461538461537,2
95,32,0,6,126930,53,25,65.44,7,12,0.58,0,"Great experience, will shop again!",2025-06-04,1636.0,11452.0,8.525999999999998,300,19.24705882352941,1
96,57,1,6,59229,19,6,42.53,0,17,0.78,0,The website is easy to use.,2025-08-10,255.18,0.0,11.966,233,255.18,0
97,34,1,9,149375,76,44,57.53,15,11,0.65,0,Excellent customer service.,2025-08-05,2531.32,37969.8,7.805,238,13.985193370165748,2
98,58,1,1,29383,84,10,40.12,0,2,0.16,0,Very satisfied with my purchase.,2025-05-29,401.2,0.0,1.652,306,401.2,2
99,29,1,1,31252,64,26,38.86,8,22,0.9,0,Good quality and value for money.,2025-05-05,1010.36,8082.88,15.429999999999998,330,10.416082474226805,1
100,68,1,5,54516,27,26,44.83,11,17,0.09,0,The website is easy to use.,2025-09-24,1165.58,12821.38,12.172999999999998,188,8.76375939849624,0
101,18,1,8,75852,24,5,46.3,0,2,0.34,0,Excellent customer service.,2025-10-17,231.5,0.0,1.5979999999999999,165,231.5,0
102,25,0,4,131872,62,25,60.62,6,22,0.68,0,The website is easy to use.,2025-08-05,1515.5,9093.0,15.495999999999999,238,20.76027397260274,1
103,28,1,2,51958,67,29,47.97,10,13,0.26,0,"Great experience, will shop again!",2025-05-30,1391.1299999999999,13911.3,9.322,305,11.49694214876033,1
104,67,1,2,176587,11,32,67.31,11,10,0.48,0,The website is easy to use.,2025-05-03,2153.92,23693.120000000003,7.156,332,16.194887218045114,0
105,25,1,8,141734,85,22,71.83,3,17,0.56,0,Very satisfied with my purchase.,2025-06-09,1580.26,4740.78,12.031999999999998,295,42.70972972972973,2
106,32,0,5,46189,68,19,38.35,4,5,0.7,0,Good quality and value for money.,2025-08-19,728.65,2914.6,3.59,224,14.870408163265306,1
107,25,1,1,41748,29,6,32.45,0,17,0.45,0,Love the products and fast shipping.,2025-08-16,194.70000000000002,0.0,12.064999999999998,227,194.70000000000002,0
108,29,0,1,70220,47,29,52.37,11,5,0.08,0,"Great experience, will shop again!",2025-10-18,1518.73,16706.03,3.776,164,11.419022556390978,1
109,63,1,5,55771,79,32,51.81,10,1,0.66,0,Very satisfied with my purchase.,2025-08-13,1657.92,16579.2,0.8019999999999999,230,13.701818181818183,2
110,21,0,2,95375,26,14,52.98,3,2,0.3,0,Excellent customer service.,2025-06-12,741.7199999999999,2225.16,1.6099999999999999,292,20.046486486486483,0
111,36,0,9,108813,86,27,60.38,7,7,0.74,0,Very satisfied with my purchase.,2025-10-04,1630.26,11411.82,4.978,178,19.179529411764705,2
112,65,0,5,69090,91,32,47.59,10,2,0.91,1,Difficult to navigate the website.,2023-12-19,1522.88,15228.800000000001,1.4269999999999998,833,12.585785123966943,2
113,50,0,4,174440,49,22,58.46,3,24,0.6,0,Good quality and value for money.,2025-05-27,1286.1200000000001,3858.3600000000006,16.919999999999998,308,34.760000000000005,1
114,32,1,7,60363,17,10,39.3,3,30,0.82,1,Shipping was too slow.,2024-03-04,393.0,1179.0,21.054,757,10.621621621621621,0
115,52,0,8,111889,74,20,59.01,3,5,0.07,0,Very satisfied with my purchase.,2025-08-17,1180.2,3540.6000000000004,3.779,226,31.8972972972973,2
116,54,1,5,40940,18,15,30.95,5,25,0.73,1,Customer service was unhelpful.,2024-11-16,464.25,2321.25,17.581,500,7.610655737704918,0
117,44,1,5,46817,75,11,40.53,1,10,0.77,0,The website is easy to use.,2025-05-22,445.83000000000004,445.83000000000004,7.069,313,34.29461538461539,2
118,33,1,9,135023,62,39,50.3,13,21,0.19,0,Excellent customer service.,2025-07-28,1961.6999999999998,25502.1,14.943,246,12.494904458598725,1
119,69,1,9,117523,36,34,46.32,12,3,0.56,0,Very satisfied with my purchase.,2025-09-29,1574.88,18898.56,2.2319999999999998,183,10.861241379310346,0
120,32,0,6,95325,30,20,38.53,6,25,0.21,0,Excellent customer service.,2025-08-01,770.6,4623.6,17.737,242,10.556164383561644,0
121,36,0,9,49872,42,19,37.45,6,15,0.05,0,Excellent customer service.,2025-10-05,711.5500000000001,4269.3,10.785,177,9.747260273972604,1
122,21,0,1,54833,14,5,29.43,0,9,0.61,1,"Poor quality, item broke after a week.",2024-01-04,147.15,0.0,6.417,817,147.15,0
123,52,0,5,69865,82,13,54.42,0,8,0.16,0,Good quality and value for money.,2025-07-22,707.46,0.0,5.851999999999999,252,707.46,2
124,57,1,9,67489,48,33,37.82,13,7,0.28,0,"Great experience, will shop again!",2025-08-27,1248.06,16224.779999999999,5.116,216,7.949426751592356,1
125,42,0,7,64119,53,15,40.85,2,28,0.91,0,Love the products and fast shipping.,2025-05-10,612.75,1225.5,19.627,325,24.51,1
126,68,1,1,82908,8,27,37.23,11,12,0.14,0,"Great experience, will shop again!",2025-05-13,1005.2099999999999,11057.31,8.657999999999998,322,7.55796992481203,0
127,29,0,1,78750,59,16,44.84,3,30,0.34,0,"Great experience, will shop again!",2025-08-09,717.44,2152.32,21.198,234,19.39027027027027,1
128,22,0,5,69592,27,12,34.38,2,7,0.09,0,Good quality and value for money.,2025-06-16,412.56000000000006,825.1200000000001,5.172999999999999,288,16.5024,0
129,57,1,1,28443,90,33,49.12,11,14,0.31,0,Good quality and value for money.,2025-08-13,1620.9599999999998,17830.559999999998,10.007,230,12.18766917293233,2
130,31,0,8,106308,68,29,50.86,8,24,0.19,0,Very satisfied with my purchase.,2025-08-17,1474.94,11799.52,17.042999999999996,226,15.205567010309279,1
131,54,0,1,53228,27,20,29.95,7,19,0.48,0,Love the products and fast shipping.,2025-06-19,599.0,4193.0,13.456,285,7.047058823529412,0
132,70,1,9,170143,78,18,73.37,1,24,0.96,0,Love the products and fast shipping.,2025-06-10,1320.66,1320.66,16.811999999999998,294,101.58923076923078,2
133,47,1,3,89473,16,14,47.44,3,4,0.18,1,"Poor quality, item broke after a week.",2024-08-17,664.16,1992.48,3.046,591,17.95027027027027,0
134,67,1,4,156580,46,15,59.87,1,19,0.02,0,"Great experience, will shop again!",2025-09-04,898.05,898.05,13.594,208,69.08076923076922,1
135,36,0,5,68972,31,28,45.14,10,17,0.08,0,Very satisfied with my purchase.,2025-06-15,1263.92,12639.2,12.175999999999998,289,10.445619834710744,0
136,30,1,3,31280,20,6,39.51,2,13,0.88,1,Difficult to navigate the website.,2024-03-08,237.06,474.12,9.136,753,9.4824,0
137,45,0,4,61599,29,27,43.75,10,9,0.32,0,The website is easy to use.,2025-05-04,1181.25,11812.5,6.504,331,9.762396694214877,0
138,38,0,3,40541,21,16,27.59,6,1,0.83,0,"Great experience, will shop again!",2025-07-29,441.44,2648.64,0.751,245,6.047123287671233,0
139,43,1,1,78489,44,38,37.07,14,27,0.49,0,Very satisfied with my purchase.,2025-09-13,1408.66,19721.24,19.052999999999997,199,8.33526627218935,1
140,59,1,8,140426,9,38,57.29,15,8,0.22,0,Love the products and fast shipping.,2025-10-27,2177.02,32655.3,5.834,155,12.027734806629834,0
141,19,1,4,134534,75,19,54.1,1,29,0.38,0,"Great experience, will shop again!",2025-06-20,1027.9,1027.9,20.485999999999997,284,79.06923076923077,2
142,47,0,5,46669,9,9,31.38,3,27,0.4,0,Good quality and value for money.,2025-09-28,282.42,847.26,19.08,184,7.632972972972974,0
143,39,1,2,83752,74,17,60.87,3,11,0.64,0,Love the products and fast shipping.,2025-09-27,1034.79,3104.37,7.807999999999999,185,27.967297297297296,2
144,68,1,9,71726,28,18,33.76,5,4,0.82,1,Customer service was unhelpful.,2025-03-16,607.68,3038.3999999999996,2.8539999999999996,380,9.961967213114754,0
145,19,1,9,122092,70,17,63.88,1,3,0.66,0,Good quality and value for money.,2025-09-20,1085.96,1085.96,2.2019999999999995,192,83.53538461538461,1
146,38,0,4,41112,68,28,44.07,9,24,0.81,0,Love the products and fast shipping.,2025-05-08,1233.96,11105.64,16.856999999999996,327,11.320733944954128,1
147,18,0,5,67787,54,10,48.78,0,24,0.43,0,Love the products and fast shipping.,2025-05-17,487.8,0.0,16.970999999999997,318,487.8,1
148,36,1,5,61242,64,17,53.56,3,26,0.17,0,Very satisfied with my purchase.,2025-07-24,910.52,2731.56,18.448999999999998,250,24.608648648648646,1
149,66,0,3,94651,30,30,41.01,11,21,0.03,0,Excellent customer service.,2025-05-23,1230.3,13533.3,14.991,312,9.250375939849624,0
150,70,1,4,73191,75,25,56.41,7,20,0.84,0,The website is easy to use.,2025-07-18,1410.25,9871.75,14.048,256,16.591176470588234,2
151,29,0,9,98102,9,17,44.15,5,9,0.34,0,Very satisfied with my purchase.,2025-07-09,750.55,3752.75,6.498,265,12.304098360655736,0
152,67,1,2,107866,56,14,51.79,2,30,0.64,0,Love the products and fast shipping.,2025-05-22,725.06,1450.12,21.108,313,29.002399999999998,1
153,55,1,8,71462,16,29,36.55,11,30,0.7,0,Love the products and fast shipping.,2025-08-19,1059.9499999999998,11659.449999999997,21.09,224,7.96954887218045,0
154,41,0,9,86047,6,26,38.17,10,13,0.96,0,Excellent customer service.,2025-05-06,992.4200000000001,9924.2,9.112,329,8.201818181818183,0
155,37,1,9,123418,94,34,62.77,8,26,0.79,0,Very satisfied with my purchase.,2025-09-05,2134.1800000000003,17073.440000000002,18.262999999999998,207,22.001855670103097,2
156,70,1,4,92677,77,20,63.66,3,24,0.84,0,Very satisfied with my purchase.,2025-09-22,1273.1999999999998,3819.5999999999995,16.847999999999995,190,34.41081081081081,2
157,46,0,5,30928,8,31,29.28,14,2,0.24,1,Difficult to navigate the website.,2025-03-03,907.6800000000001,12707.52,1.628,393,5.370887573964497,0
158,58,1,2,166503,59,38,57.6,12,2,0.68,0,Love the products and fast shipping.,2025-08-08,2188.8,26265.600000000002,1.496,235,15.095172413793104,1
159,33,0,1,43595,69,21,45.55,6,3,0.43,0,"Great experience, will shop again!",2025-10-20,956.55,5739.299999999999,2.2709999999999995,162,13.103424657534246,1
160,58,1,5,35114,11,12,24.61,4,13,0.81,0,Very satisfied with my purchase.,2025-05-17,295.32,1181.28,9.157,318,6.026938775510204,0
161,69,0,2,154762,67,31,73.16,8,30,0.33,0,Good quality and value for money.,2025-07-27,2267.96,18143.68,21.201,247,23.381030927835052,1
162,41,0,2,50302,37,23,38.57,7,29,0.91,1,I will not be shopping here again.,2024-08-10,887.11,6209.77,20.326999999999998,598,10.436588235294117,0
163,24,1,5,63205,29,11,42.79,3,27,0.26,0,The website is easy to use.,2025-08-26,470.69,1412.07,19.122,217,12.721351351351352,0
164,31,0,8,84833,96,33,57.38,10,11,0.17,0,Very satisfied with my purchase.,2025-08-27,1893.5400000000002,18935.4,7.948999999999999,216,15.64909090909091,2
165,25,0,5,71623,90,16,56.65,1,13,0.8,0,"Great experience, will shop again!",2025-10-17,906.4,906.4,9.16,165,69.72307692307692,2
166,22,1,6,145694,30,18,52.47,4,14,0.24,0,Very satisfied with my purchase.,2025-06-15,944.46,3777.84,10.027999999999999,289,19.27469387755102,0
167,56,1,9,129703,48,40,56.64,14,11,0.54,0,The website is easy to use.,2025-07-29,2265.6,31718.399999999998,7.837999999999999,245,13.405917159763312,1
168,20,0,2,62500,55,11,37.23,1,24,0.35,0,Good quality and value for money.,2025-08-13,409.53,409.53,16.994999999999997,230,31.50230769230769,1
169,63,0,9,125817,43,23,47.48,5,9,0.35,0,Good quality and value for money.,2025-10-04,1092.04,5460.2,6.495,178,17.902295081967214,1
170,55,0,1,67532,76,23,45.15,6,1,0.06,0,"Great experience, will shop again!",2025-10-21,1038.45,6230.700000000001,0.982,161,14.225342465753425,2
171,41,1,0,59948,81,32,43.05,11,14,0.82,0,"Great experience, will shop again!",2025-07-30,1377.6,15153.599999999999,9.854,244,10.357894736842104,2
172,51,1,4,145412,12,35,49.27,12,11,0.66,0,Very satisfied with my purchase.,2025-07-12,1724.45,20693.4,7.802,262,11.892758620689655,0
173,27,1,3,76806,23,24,32.67,9,4,0.87,0,Love the products and fast shipping.,2025-10-17,784.08,7056.72,2.839,165,7.193394495412845,0
174,64,1,2,108668,59,16,63.16,3,20,0.8,1,Difficult to navigate the website.,2023-11-13,1010.56,3031.68,14.06,869,27.31243243243243,1
175,39,1,8,141417,79,36,61.47,10,5,0.15,0,The website is easy to use.,2025-05-13,2212.92,22129.2,3.755,322,18.288595041322314,2
176,37,1,4,84349,42,26,49.6,9,12,0.09,0,"Great experience, will shop again!",2025-07-17,1289.6000000000001,11606.400000000001,8.672999999999998,257,11.83119266055046,1
177,57,1,8,175453,74,46,61.1,15,18,0.18,0,Love the products and fast shipping.,2025-09-07,2810.6,42159.0,12.846,205,15.52817679558011,2
178,42,1,9,62595,78,12,40.44,0,6,0.7,0,"Great experience, will shop again!",2025-07-02,485.28,0.0,4.289999999999999,272,485.28,2
179,37,0,8,121632,87,30,55.07,7,7,0.84,0,Very satisfied with my purchase.,2025-06-29,1652.1,11564.699999999999,4.9479999999999995,275,19.43647058823529,2
180,38,0,5,35127,64,22,39.23,7,19,0.48,0,Very satisfied with my purchase.,2025-10-17,863.06,6041.42,13.456,165,10.153647058823529,1
181,59,1,9,126954,89,21,59.14,2,10,0.89,0,Excellent customer service.,2025-09-09,1241.94,2483.88,7.033,203,49.677600000000005,2
